"gene_names","gene_ids"
"pibf1","ENSPFOG00000018047"
"dis3","ENSPFOG00000018054"
"bora","ENSPFOG00000018103"
"MZT1","ENSPFOG00000018122"
"dachc","ENSPFOG00000018131"
"ubac2","ENSPFOG00000018145"
"ensembl","ENSPFOG00000021255"
"ank3a","ENSPFOG00000018181"
"ccdc6a","ENSPFOG00000023111"
"slc16a9a","ENSPFOG00000018297"
"FAM13C(3of3)","ENSPFOG00000018310"
"ensembl","ENSPFOG00000018327"
"bicc1a","ENSPFOG00000018348"
"ube2d1a","ENSPFOG00000018389"
"rgs7a","ENSPFOG00000018399"
"FMN2(2of2)","ENSPFOG00000018428"
"grem2a","ENSPFOG00000018434"
"fmn2a","ENSPFOG00000020920"
"ensembl","ENSPFOG00000021021"
"ryr2b","ENSPFOG00000018441"
"actn2b","ENSPFOG00000018513"
"p4ha1b","ENSPFOG00000018574"
"ecd(1of3)","ENSPFOG00000018614"
"fam149b1(1of3)","ENSPFOG00000018643"
"dnajc9(1of2)","ENSPFOG00000018647"
"ndnfl(1of2)","ENSPFOG00000018654"
"si:ch211-248a14.8","ENSPFOG00000018661"
"ecd(2of3)","ENSPFOG00000018663"
"fam149b1(2of3)","ENSPFOG00000018675"
"ecd(3of3)","ENSPFOG00000024066"
"fam149b1(3of3)","ENSPFOG00000018683"
"dnajc9(2of2)","ENSPFOG00000018698"
"ndnfl(2of2)","ENSPFOG00000018704"
"ccser2a","ENSPFOG00000018708"
"grid1a","ENSPFOG00000018725"
"wapala","ENSPFOG00000018765"
"htra1a","ENSPFOG00000018790"
"plekha1a","ENSPFOG00000018816"
"trim44","ENSPFOG00000013741"
"FJX1","ENSPFOG00000020585"
"pamr1","ENSPFOG00000013756"
"slc1a2b","ENSPFOG00000013849"
"cd44a","ENSPFOG00000013957"
"pdhx","ENSPFOG00000013974"
"ehf","ENSPFOG00000014011"
"ensembl","ENSPFOG00000021322"
"LRRC4C(2of2)","ENSPFOG00000020586"
"rag2(1of2)","ENSPFOG00000020587"
"rag1","ENSPFOG00000014025"
"rag2(2of2)","ENSPFOG00000020588"
"accs","ENSPFOG00000014048"
"furinb","ENSPFOG00000014101"
"man2a2","ENSPFOG00000014268"
"unc45a","ENSPFOG00000014428"
"rccd1","ENSPFOG00000021817"
"cib1","ENSPFOG00000014644"
"GDPGP1","ENSPFOG00000020589"
"rhcgb","ENSPFOG00000014651"
"ensembl","ENSPFOG00000021538"
"polg","ENSPFOG00000014718"
"fanci","ENSPFOG00000014934"
"CES3(1of4)","ENSPFOG00000015277"
"CES3(3of4)","ENSPFOG00000022107"
"FBXO31","ENSPFOG00000015373"
"banp","ENSPFOG00000015454"
"ZNF469","ENSPFOG00000015491"
"ensembl","ENSPFOG00000021171"
"kras","ENSPFOG00000015499"
"RASSF8(1of2)","ENSPFOG00000015512"
"bhlhe41","ENSPFOG00000015542"
"sspn","ENSPFOG00000015569"
"itpr2","ENSPFOG00000015617"
"ensembl","ENSPFOG00000024075"
"plekhg7","ENSPFOG00000015986"
"eea1","ENSPFOG00000016046"
"nudt4a","ENSPFOG00000016144"
"ube2na","ENSPFOG00000016146"
"si:ch211-219a15.3","ENSPFOG00000016156"
"nr1h4","ENSPFOG00000016166"
"slc17a8","ENSPFOG00000016226"
"arntl2(2of2)","ENSPFOG00000016287"
"ppfibp1b","ENSPFOG00000016359"
"polr3b","ENSPFOG00000016446"
"rfx4","ENSPFOG00000016523"
"ric8b","ENSPFOG00000016525"
"si:dkey-103i16.6","ENSPFOG00000016528"
"tmem263(1of2)","ENSPFOG00000016562"
"tmem263(2of2)","ENSPFOG00000022922"
"zp2l2","ENSPFOG00000016572"
"cax2","ENSPFOG00000016631"
"KLHDC10(2of2)","ENSPFOG00000016698"
"UBE2H(2of2)","ENSPFOG00000016733"
"ensembl","ENSPFOG00000021568"
"ensembl","ENSPFOG00000021319"
"ensembl","ENSPFOG00000021178"
"ensembl","ENSPFOG00000016741"
"chrm2b","ENSPFOG00000016820"
"ensembl","ENSPFOG00000016831"
"magi2b","ENSPFOG00000016872"
"ergic2","ENSPFOG00000017017"
"kxd1","ENSPFOG00000017121"
"fam60a","ENSPFOG00000017140"
"dennd5b","ENSPFOG00000017168"
"armc10","ENSPFOG00000017262"
"fam185a","ENSPFOG00000017267"
"fgl2b","ENSPFOG00000017295"
"RSBN1L(2of2)","ENSPFOG00000017301"
"TMEM60(2of2)","ENSPFOG00000020590"
"prr5a","ENSPFOG00000017324"
"rad52","ENSPFOG00000017352"
"wnk1a","ENSPFOG00000017375"
"erc1a","ENSPFOG00000017409"
"fbxl14a","ENSPFOG00000020591"
"ensembl","ENSPFOG00000017460"
"DYNLRB2","ENSPFOG00000017486"
"psmd7","ENSPFOG00000017493"
"hprt1l","ENSPFOG00000017514"
"nudt7","ENSPFOG00000017530"
"nfat5a","ENSPFOG00000017540"
"ensembl","ENSPFOG00000023074"
"wwox","ENSPFOG00000017571"
"mafb","ENSPFOG00000017599"
"si:dkey-234i14.6","ENSPFOG00000017605"
"prpf18","ENSPFOG00000017611"
"BEND7","ENSPFOG00000017633"
"sephs1","ENSPFOG00000017637"
"cpt1b","ENSPFOG00000017666"
"ensembl","ENSPFOG00000022160"
"chkb","ENSPFOG00000022686"
"zgc:171779","ENSPFOG00000017747"
"mapk8ip2","ENSPFOG00000017770"
"arsa","ENSPFOG00000017799"
"shank3a","ENSPFOG00000017845"
"rabl2","ENSPFOG00000017960"
"odf3b","ENSPFOG00000017982"
"zgc:77752","ENSPFOG00000017984"
"ARF5(2of2)","ENSPFOG00000017992"
"si:dkey-30c15.2","ENSPFOG00000018001"
"neto2b","ENSPFOG00000018006"
"ensembl","ENSPFOG00000018029"
"ensembl","ENSPFOG00000021709"
"ccdc79","ENSPFOG00000018034"
"pdp2","ENSPFOG00000018045"
"si:dkey-30c15.12","ENSPFOG00000018069"
"si:dkey-30c15.13","ENSPFOG00000018096"
"FRMD4A","ENSPFOG00000018101"
"ripk3(2of2)","ENSPFOG00000018147"
"impdh1a","ENSPFOG00000018162"
"PRRT4(2of2)","ENSPFOG00000023520"
"si:dkey-5i3.5(3of3)","ENSPFOG00000018205"
"rbm28","ENSPFOG00000018209"
"ensembl","ENSPFOG00000018236"
"ensembl","ENSPFOG00000020992"
"lrrc4.2","ENSPFOG00000020592"
"hgfb","ENSPFOG00000018249"
"CACNA2D1(2of2)","ENSPFOG00000018321"
"pclob","ENSPFOG00000018381"
"sema3e","ENSPFOG00000018397"
"sema3ab","ENSPFOG00000018437"
"sema3d","ENSPFOG00000018512"
"grm3","ENSPFOG00000018558"
"si:ch211-233h19.2","ENSPFOG00000018582"
"fam107b","ENSPFOG00000018602"
"gcsha","ENSPFOG00000018613"
"si:ch1073-390k14.1","ENSPFOG00000018618"
"ZFHX2(2of3)","ENSPFOG00000021707"
"ZFHX2(3of3)","ENSPFOG00000022566"
"gtf3c6","ENSPFOG00000018629"
"calub","ENSPFOG00000018635"
"ensembl","ENSPFOG00000018639"
"KCP","ENSPFOG00000018664"
"dnaja2l","ENSPFOG00000018692"
"ppp6r2b","ENSPFOG00000018710"
"si:dkey-266m15.5(2of2)","ENSPFOG00000024613"
"si:dkey-266m15.5(1of2)","ENSPFOG00000018749"
"adm2b","ENSPFOG00000023168"
"miox","ENSPFOG00000018753"
"lmf2a","ENSPFOG00000018767"
"c2cd5","ENSPFOG00000018794"
"b4galnt3b","ENSPFOG00000018828"
"fkbp4","ENSPFOG00000018881"
"ddx11","ENSPFOG00000018929"
"wash1","ENSPFOG00000018970"
"iqsec3b","ENSPFOG00000018979"
"ptprq","ENSPFOG00000019026"
"otogl","ENSPFOG00000019067"
"syt1b","ENSPFOG00000019093"
"bbs10","ENSPFOG00000019097"
"cd9a","ENSPFOG00000019107"
"ensembl","ENSPFOG00000019119"
"ANO2(2of2)","ENSPFOG00000019147"
"cers3b","ENSPFOG00000019166"
"CFAP161","ENSPFOG00000022648"
"ensembl","ENSPFOG00000019170"
"igf1rb","ENSPFOG00000019184"
"pgpep1l","ENSPFOG00000024508"
"synm","ENSPFOG00000019198"
"ttc23","ENSPFOG00000019200"
"mef2aa","ENSPFOG00000019202"
"mctp2a","ENSPFOG00000019209"
"ensembl","ENSPFOG00000018370"
"ensembl","ENSPFOG00000021215"
"supt4h1","ENSPFOG00000018406"
"hsf5","ENSPFOG00000024243"
"RNF43","ENSPFOG00000018413"
"hpda","ENSPFOG00000018422"
"MTMR4","ENSPFOG00000018438"
"ca4a","ENSPFOG00000018464"
"ensembl","ENSPFOG00000018473"
"gusb","ENSPFOG00000018488"
"vkorc1l1","ENSPFOG00000018495"
"NUPR1L","ENSPFOG00000020537"
"znhit3","ENSPFOG00000018500"
"MYO19","ENSPFOG00000018517"
"pigw","ENSPFOG00000020538"
"ggnbp2","ENSPFOG00000018549"
"dhrs11a","ENSPFOG00000018562"
"si:ch211-283g2.1","ENSPFOG00000018567"
"flot2a","ENSPFOG00000018576"
"ensembl","ENSPFOG00000021638"
"ensembl","ENSPFOG00000021482"
"eral1","ENSPFOG00000018592"
"fam222ba","ENSPFOG00000018606"
"trpv1","ENSPFOG00000018621"
"shpk","ENSPFOG00000018645"
"p2rx5","ENSPFOG00000018649"
"emc6","ENSPFOG00000020539"
"UBB","ENSPFOG00000018650"
"ensembl","ENSPFOG00000018651"
"ensembl","ENSPFOG00000021668"
"cenpv","ENSPFOG00000018656"
"pigl","ENSPFOG00000018665"
"ncor1","ENSPFOG00000018684"
"zswim7","ENSPFOG00000018718"
"adora2b","ENSPFOG00000018720"
"specc1","ENSPFOG00000018727"
"TIMM22","ENSPFOG00000018761"
"ABR","ENSPFOG00000018783"
"ensembl","ENSPFOG00000024646"
"aspa","ENSPFOG00000018835"
"C11orf54","ENSPFOG00000018846"
"akap10","ENSPFOG00000018855"
"si:dkey-35m8.1","ENSPFOG00000018865"
"ensembl","ENSPFOG00000020540"
"SPATA22","ENSPFOG00000023352"
"stip1","ENSPFOG00000018870"
"rps6ka4","ENSPFOG00000018888"
"flrt1a(1of2)","ENSPFOG00000020541"
"flrt1a(2of2)","ENSPFOG00000020542"
"zfpl1","ENSPFOG00000018926"
"ensembl","ENSPFOG00000018932"
"rom1a","ENSPFOG00000018935"
"frmd8","ENSPFOG00000018942"
"vps51","ENSPFOG00000018955"
"ensembl","ENSPFOG00000020543"
"tm7sf2","ENSPFOG00000018968"
"cnih2","ENSPFOG00000018976"
"slc8a4a","ENSPFOG00000018988"
"si:dkey-175m17.7","ENSPFOG00000019008"
"gng3","ENSPFOG00000019009"
"banf1","ENSPFOG00000019011"
"prdx5","ENSPFOG00000019013"
"esrra","ENSPFOG00000019015"
"KCNK4(2of2)","ENSPFOG00000019024"
"adssl","ENSPFOG00000019031"
"MTHFS","ENSPFOG00000019039"
"ensembl","ENSPFOG00000021416"
"ensembl","ENSPFOG00000021067"
"kif4","ENSPFOG00000019046"
"ammecr1","ENSPFOG00000019068"
"TMEM164","ENSPFOG00000019076"
"gabra3","ENSPFOG00000019092"
"gabrb4","ENSPFOG00000019123"
"tmlhe","ENSPFOG00000019134"
"mpp1","ENSPFOG00000019139"
"vamp2","ENSPFOG00000019145"
"pcolcea","ENSPFOG00000019150"
"tmem88a","ENSPFOG00000019154"
"ensembl","ENSPFOG00000019157"
"ENDOD1(10of10)","ENSPFOG00000019160"
"nlgn2b","ENSPFOG00000019161"
"fgf11b","ENSPFOG00000019167"
"cldn7b","ENSPFOG00000019168"
"npm1a","ENSPFOG00000019173"
"kcnip1b","ENSPFOG00000019177"
"hrh2b","ENSPFOG00000019178"
"FAM196B","ENSPFOG00000019180"
"PCDHAC2(2of2)","ENSPFOG00000019182"
"ensembl","ENSPFOG00000019185"
"pcdh1a","ENSPFOG00000019187"
"ROBO2(3of3)","ENSPFOG00000022631"
"ROBO2(2of3)","ENSPFOG00000019197"
"ROBO1(2of2)","ENSPFOG00000019224"
"ppm1da","ENSPFOG00000019247"
"tbx2b","ENSPFOG00000021683"
"acaca","ENSPFOG00000019266"
"lhx1b","ENSPFOG00000019290"
"sez6a","ENSPFOG00000019295"
"myo18aa","ENSPFOG00000019312"
"si:ch211-244e12.7","ENSPFOG00000023206"
"VEZF1","ENSPFOG00000019322"
"ksr1a","ENSPFOG00000019329"
"omga","ENSPFOG00000020545"
"MSI2(1of2)","ENSPFOG00000019337"
"MSI2(2of2)","ENSPFOG00000019338"
"nufip2(2of2)","ENSPFOG00000022140"
"nufip2(1of2)","ENSPFOG00000019342"
"glra4b","ENSPFOG00000019344"
"aifm1","ENSPFOG00000019351"
"GAB3","ENSPFOG00000019357"
"amer1","ENSPFOG00000020546"
"zc3h12b","ENSPFOG00000019365"
"msna","ENSPFOG00000019370"
"ensembl","ENSPFOG00000021193"
"B3GNT3(1of4)","ENSPFOG00000020547"
"ar","ENSPFOG00000019378"
"ophn1","ENSPFOG00000019388"
"cx27.5","ENSPFOG00000019398"
"cx39.9(1of2)","ENSPFOG00000020548"
"TBC1D8B","ENSPFOG00000019408"
"ensembl","ENSPFOG00000024720"
"CXorf57","ENSPFOG00000019420"
"npas2","ENSPFOG00000019432"
"brwd3","ENSPFOG00000019442"
"fam46d(3of3)","ENSPFOG00000019451"
"chmp1b","ENSPFOG00000019452"
"rraga","ENSPFOG00000019453"
"CNGA2","ENSPFOG00000019454"
"pls3","ENSPFOG00000019459"
"atrxl","ENSPFOG00000019467"
"ccdc61","ENSPFOG00000019472"
"kcnk12l","ENSPFOG00000019475"
"ppm1nb","ENSPFOG00000019480"
"rtn2b","ENSPFOG00000019484"
"ensembl","ENSPFOG00000023643"
"pvrl3b","ENSPFOG00000019487"
"ensembl","ENSPFOG00000020549"
"ppme1","ENSPFOG00000019491"
"ucp3","ENSPFOG00000023273"
"dnajb13","ENSPFOG00000019504"
"ucp2","ENSPFOG00000019497"
"rab6a","ENSPFOG00000019509"
"zgc:194261","ENSPFOG00000019512"
"tagln2","ENSPFOG00000019513"
"pafah1b2","ENSPFOG00000019515"
"mpzl2b","ENSPFOG00000019518"
"scn4bb","ENSPFOG00000019521"
"dscaml1(2of2)","ENSPFOG00000019530"
"ensembl","ENSPFOG00000021338"
"ensembl","ENSPFOG00000021125"
"arhgap35","ENSPFOG00000019539"
"MYO1C(2of2)","ENSPFOG00000019544"
"epd","ENSPFOG00000019553"
"stag2a","ENSPFOG00000019554"
"thoc2","ENSPFOG00000019556"
"antxr1d(2of2)","ENSPFOG00000022585"
"prdm8","ENSPFOG00000004161"
"gdf10a","ENSPFOG00000004185"
"ensembl","ENSPFOG00000004232"
"mapk8a(1of2)","ENSPFOG00000004657"
"arhgap22","ENSPFOG00000004887"
"si:ch211-223a10.1","ENSPFOG00000005004"
"wdfy4","ENSPFOG00000005136"
"lrrc18b","ENSPFOG00000006422"
"vstm4a","ENSPFOG00000006436"
"C10orf71(1of2)","ENSPFOG00000021744"
"drgx","ENSPFOG00000006496"
"ercc6","ENSPFOG00000006551"
"cxcl12a","ENSPFOG00000006643"
"tmem72","ENSPFOG00000006672"
"ensembl","ENSPFOG00000006699"
"rassf4","ENSPFOG00000006743"
"PAOX(2of2)","ENSPFOG00000023851"
"PAOX(1of2)","ENSPFOG00000006936"
"mtg1","ENSPFOG00000007100"
"ensembl","ENSPFOG00000019995"
"echs1","ENSPFOG00000007113"
"fuom","ENSPFOG00000007201"
"ensembl","ENSPFOG00000007258"
"ensembl","ENSPFOG00000007262"
"znf511","ENSPFOG00000007294"
"adam8a","ENSPFOG00000007354"
"erlin1","ENSPFOG00000007590"
"CHUK(2of2)","ENSPFOG00000024799"
"plaua","ENSPFOG00000007923"
"vcla(1of2)","ENSPFOG00000008026"
"ap3m1(1of2)","ENSPFOG00000008124"
"adka","ENSPFOG00000008335"
"vcla(2of2)","ENSPFOG00000008188"
"ap3m1(2of2)","ENSPFOG00000008271"
"dusp13a","ENSPFOG00000008430"
"DUPD1(1of2)","ENSPFOG00000008437"
"zgc:153981","ENSPFOG00000008476"
"zgc:162183","ENSPFOG00000008498"
"npy4r","ENSPFOG00000008543"
"mcph1","ENSPFOG00000008566"
"angpt2a","ENSPFOG00000008708"
"agpat5","ENSPFOG00000008810"
"TMEM14A","ENSPFOG00000008942"
"zgc:173962","ENSPFOG00000008946"
"7SK","ENSPFOG00000021121"
"ICK","ENSPFOG00000008953"
"fbxo9","ENSPFOG00000009112"
"elovl5","ENSPFOG00000009242"
"gclc","ENSPFOG00000009252"
"klhl31","ENSPFOG00000009567"
"ensembl","ENSPFOG00000023644"
"lrrc1","ENSPFOG00000009602"
"MLIP","ENSPFOG00000023420"
"fam83b","ENSPFOG00000009755"
"hcrtr2","ENSPFOG00000009773"
"gfral","ENSPFOG00000023068"
"hmgcll1","ENSPFOG00000009879"
"bmp5","ENSPFOG00000009884"
"COL21A1","ENSPFOG00000009889"
"DST","ENSPFOG00000010186"
"znf451","ENSPFOG00000011368"
"bag2","ENSPFOG00000023349"
"rab23","ENSPFOG00000011493"
"prim2","ENSPFOG00000011520"
"khdrbs2","ENSPFOG00000011638"
"si:dkey-103j14.5","ENSPFOG00000011772"
"phf3","ENSPFOG00000011817"
"EYS","ENSPFOG00000011844"
"ensembl","ENSPFOG00000011881"
"ensembl","ENSPFOG00000011888"
"adgrb3(1of2)","ENSPFOG00000011908"
"adgrb3(2of2)","ENSPFOG00000024033"
"lmbrd1","ENSPFOG00000012351"
"ensembl","ENSPFOG00000023358"
"col19a1","ENSPFOG00000012555"
"col9a1b","ENSPFOG00000012726"
"fam135a","ENSPFOG00000012899"
"zgc:172136","ENSPFOG00000012967"
"TARBP1","ENSPFOG00000013020"
"ensembl","ENSPFOG00000013269"
"slc35f3b","ENSPFOG00000013278"
"kcnk1b","ENSPFOG00000013354"
"map3k4","ENSPFOG00000013390"
"agpat4","ENSPFOG00000013562"
"thbs2a","ENSPFOG00000013623"
"psme4a","ENSPFOG00000014029"
"gpr75","ENSPFOG00000019996"
"erlec1","ENSPFOG00000014456"
"nrxn1b","ENSPFOG00000014655"
"ensembl","ENSPFOG00000015093"
"gtf2a1l","ENSPFOG00000015159"
"gtf2a1l(1of2)","ENSPFOG00000015176"
"gtf2a1l(2of2)","ENSPFOG00000024314"
"ppp1r21","ENSPFOG00000015194"
"foxn2b","ENSPFOG00000015286"
"fbxo11a","ENSPFOG00000015304"
"msh6","ENSPFOG00000015401"
"KCNK12","ENSPFOG00000015461"
"golga4","ENSPFOG00000015528"
"itga9","ENSPFOG00000024558"
"ensembl","ENSPFOG00000015736"
"ZC3H8","ENSPFOG00000015748"
"FBLN7","ENSPFOG00000015780"
"TMEM87B","ENSPFOG00000015814"
"mertka","ENSPFOG00000015873"
"lhcgr","ENSPFOG00000022299"
"ensembl","ENSPFOG00000016066"
"sft2d1","ENSPFOG00000016068"
"prr18","ENSPFOG00000019997"
"tb","ENSPFOG00000016071"
"pde10a","ENSPFOG00000016104"
"oit3","ENSPFOG00000016199"
"ensembl","ENSPFOG00000024811"
"mcu","ENSPFOG00000024102"
"micu1","ENSPFOG00000016264"
"nolc1","ENSPFOG00000016289"
"mrps6","ENSPFOG00000016295"
"psap","ENSPFOG00000016306"
"slc29a3","ENSPFOG00000022050"
"unc5b","ENSPFOG00000016404"
"TACC2","ENSPFOG00000016515"
"nsmce4a","ENSPFOG00000016549"
"ensembl","ENSPFOG00000016619"
"ensembl","ENSPFOG00000016620"
"tmem63ba","ENSPFOG00000016629"
"mrpl14","ENSPFOG00000016770"
"capn1a","ENSPFOG00000016800"
"capn8","ENSPFOG00000022294"
"ensembl","ENSPFOG00000016945"
"RRBP1","ENSPFOG00000017093"
"cfl1l","ENSPFOG00000017145"
"snx5","ENSPFOG00000017151"
"mgme1","ENSPFOG00000017211"
"si:dkey-76k16.6","ENSPFOG00000017230"
"si:dkey-76k16.5","ENSPFOG00000017245"
"ensembl","ENSPFOG00000017237"
"ensembl","ENSPFOG00000017247"
"ensembl","ENSPFOG00000017249"
"ensembl","ENSPFOG00000024617"
"ensembl","ENSPFOG00000017258"
"ensembl","ENSPFOG00000022316"
"ephx5","ENSPFOG00000017269"
"MAD2L1BP","ENSPFOG00000017294"
"kif16bb","ENSPFOG00000022125"
"macrod2","ENSPFOG00000017303"
"flrt3","ENSPFOG00000019998"
"tasp1(1of2)","ENSPFOG00000017310"
"ism1","ENSPFOG00000017336"
"sptlc3","ENSPFOG00000017387"
"tasp1(2of2)","ENSPFOG00000017345"
"cx44.1","ENSPFOG00000020135"
"cx45.6","ENSPFOG00000000712"
"acp6","ENSPFOG00000000741"
"bcl9","ENSPFOG00000000816"
"si:dkey-229b18.3","ENSPFOG00000000866"
"chaf1b","ENSPFOG00000000916"
"dopey2","ENSPFOG00000001181"
"slc5a3b","ENSPFOG00000020138"
"casq2","ENSPFOG00000001603"
"vangl1","ENSPFOG00000001704"
"nqo1(1of3)","ENSPFOG00000001802"
"ACKR3(2of2)","ENSPFOG00000020140"
"rpe","ENSPFOG00000001914"
"igsf3","ENSPFOG00000002036"
"zgc:91849","ENSPFOG00000002302"
"klhl6","ENSPFOG00000002369"
"ANOS1","ENSPFOG00000002437"
"tbl1x","ENSPFOG00000002848"
"gpr143","ENSPFOG00000002963"
"ASB9","ENSPFOG00000003031"
"mospd2(1of2)","ENSPFOG00000003096"
"fancb","ENSPFOG00000003321"
"glra2(1of2)","ENSPFOG00000003430"
"mospd2(2of2)","ENSPFOG00000003570"
"glra2(2of2)","ENSPFOG00000003718"
"gpm6bb","ENSPFOG00000003962"
"ofd1","ENSPFOG00000004011"
"trappc2(1of2)","ENSPFOG00000004222"
"trappc2(2of2)","ENSPFOG00000004286"
"rab9a","ENSPFOG00000024704"
"egfl6","ENSPFOG00000004351"
"tlr8a","ENSPFOG00000024128"
"tlr7","ENSPFOG00000023980"
"frmpd4","ENSPFOG00000004379"
"ARHGAP6(1of2)","ENSPFOG00000004654"
"mid1","ENSPFOG00000004748"
"cog3","ENSPFOG00000004998"
"ERICH6B","ENSPFOG00000023532"
"ednrbb","ENSPFOG00000005408"
"lect1(1of2)","ENSPFOG00000005599"
"ensembl","ENSPFOG00000005654"
"pcdh8","ENSPFOG00000005676"
"PCDH17(1of2)","ENSPFOG00000005707"
"slitrk5b","ENSPFOG00000020148"
"FASTKD5","ENSPFOG00000020151"
"ensembl","ENSPFOG00000021145"
"ensembl","ENSPFOG00000021501"
"ensembl","ENSPFOG00000021211"
"ensembl","ENSPFOG00000021447"
"ensembl","ENSPFOG00000021096"
"ensembl","ENSPFOG00000021105"
"gpc6b","ENSPFOG00000005787"
"dct","ENSPFOG00000006048"
"sox21b","ENSPFOG00000020152"
"ABCC4(2of3)","ENSPFOG00000006221"
"cldn10b","ENSPFOG00000006774"
"cldn10l2","ENSPFOG00000006872"
"ensembl","ENSPFOG00000006890"
"dnajc3a","ENSPFOG00000006914"
"uggt2","ENSPFOG00000007063"
"hs6st3b","ENSPFOG00000008412"
"MBNL2(2of2)","ENSPFOG00000008432"
"ensembl","ENSPFOG00000008541"
"lrp2a","ENSPFOG00000024453"
"CCDC89","ENSPFOG00000022400"
"si:dkey-211m23.2","ENSPFOG00000008550"
"bbs5","ENSPFOG00000023425"
"klhl41a","ENSPFOG00000008939"
"fastkd1","ENSPFOG00000009118"
"ppig","ENSPFOG00000009332"
"ccdc173","ENSPFOG00000009379"
"phgdh","ENSPFOG00000009495"
"klhl23","ENSPFOG00000009613"
"ssb","ENSPFOG00000009650"
"mettl5","ENSPFOG00000009861"
"ubr3(1of2)","ENSPFOG00000009915"
"ubr3(2of2)","ENSPFOG00000010577"
"myo3b","ENSPFOG00000010634"
"sp5a","ENSPFOG00000011175"
"gad1a","ENSPFOG00000011193"
"GORASP2(2of2)","ENSPFOG00000011325"
"tlk1a","ENSPFOG00000011328"
"mettl8","ENSPFOG00000011462"
"dcaf17","ENSPFOG00000011528"
"cybrd1","ENSPFOG00000023806"
"DYNC1I2(2of2)","ENSPFOG00000011615"
"slc25a12(1of2)","ENSPFOG00000011816"
"slc25a12(2of2)","ENSPFOG00000012094"
"hat1","ENSPFOG00000012224"
"dlx1a","ENSPFOG00000012313"
"dlx2a","ENSPFOG00000012325"
"itga6a","ENSPFOG00000012352"
"nup62l","ENSPFOG00000012667"
"pdk1","ENSPFOG00000012677"
"si:ch1073-219n12.1","ENSPFOG00000012770"
"rapgef4","ENSPFOG00000012808"
"zak","ENSPFOG00000013194"
"cdca7a","ENSPFOG00000013308"
"sp3a(1of2)","ENSPFOG00000013312"
"OLA1","ENSPFOG00000013361"
"sp9","ENSPFOG00000013459"
"CIR1","ENSPFOG00000013476"
"scrn3","ENSPFOG00000013537"
"gpr155a","ENSPFOG00000013585"
"chn1","ENSPFOG00000013757"
"atf2","ENSPFOG00000013792"
"ATP5G3(2of2)","ENSPFOG00000013892"
"lnpa","ENSPFOG00000013929"
"evx2","ENSPFOG00000013984"
"hoxd12a","ENSPFOG00000013995"
"hoxd11a","ENSPFOG00000023998"
"hoxd10a","ENSPFOG00000014005"
"hoxd9a","ENSPFOG00000024320"
"ensembl","ENSPFOG00000021527"
"hoxd4a","ENSPFOG00000014015"
"hoxd3a","ENSPFOG00000014020"
"hnrnpa3","ENSPFOG00000014049"
"nfe2l2a","ENSPFOG00000014090"
"ensembl","ENSPFOG00000021334"
"agps","ENSPFOG00000014109"
"pde11a","ENSPFOG00000014118"
"CYCS(1of2)","ENSPFOG00000014345"
"osbpl6","ENSPFOG00000014393"
"CYCS(2of2)","ENSPFOG00000014353"
"prkra","ENSPFOG00000015000"
"casp8l2","ENSPFOG00000015032"
"ensembl","ENSPFOG00000022272"
"adam23a","ENSPFOG00000015086"
"gpr1","ENSPFOG00000020155"
"NDUFS1(3of3)","ENSPFOG00000015342"
"ino80da","ENSPFOG00000015413"
"STK24(3of3)","ENSPFOG00000015467"
"slc15a1a","ENSPFOG00000015566"
"dock9a","ENSPFOG00000015761"
"FARP1(2of2)","ENSPFOG00000016177"
"rdh1","ENSPFOG00000016387"
"dhrs9","ENSPFOG00000021982"
"abcb11a","ENSPFOG00000016434"
"G6PC2","ENSPFOG00000016460"
"STK39","ENSPFOG00000016609"
"nostrin","ENSPFOG00000016491"
"cers6","ENSPFOG00000016559"
"b3galt1a(1of2)","ENSPFOG00000020157"
"b3galt1a(2of2)","ENSPFOG00000020159"
"xirp2b","ENSPFOG00000016680"
"CSRNP3","ENSPFOG00000016682"
"GALNT3(1of2)","ENSPFOG00000016692"
"ttc21b","ENSPFOG00000016804"
"GALNT3(2of2)","ENSPFOG00000016734"
"scn1a","ENSPFOG00000016943"
"slc38a11","ENSPFOG00000017054"
"cobll1b","ENSPFOG00000017082"
"GRB14","ENSPFOG00000017098"
"fign","ENSPFOG00000017165"
"KCNH2(3of3)","ENSPFOG00000017175"
"ifih1","ENSPFOG00000017223"
"fap","ENSPFOG00000017259"
"gcgb","ENSPFOG00000017328"
"SLC4A10(2of2)","ENSPFOG00000017335"
"tbr1b","ENSPFOG00000017461"
"tank","ENSPFOG00000017473"
"rbms1a","ENSPFOG00000017483"
"CD302","ENSPFOG00000017554"
"BAZ2B(2of2)","ENSPFOG00000024462"
"WDSUB1(2of2)","ENSPFOG00000017559"
"TANC1","ENSPFOG00000017602"
"dap1b","ENSPFOG00000017674"
"PKP4(2of3)","ENSPFOG00000017679"
"NET1(1of2)","ENSPFOG00000001618"
"ensembl","ENSPFOG00000021515"
"chchd3b","ENSPFOG00000001782"
"slc35b4","ENSPFOG00000001828"
"golt1ba","ENSPFOG00000001939"
"ldhbb","ENSPFOG00000002013"
"tmpob","ENSPFOG00000002133"
"pthlhb","ENSPFOG00000002189"
"ensembl","ENSPFOG00000020310"
"kcna6a","ENSPFOG00000022058"
"kcna1a","ENSPFOG00000023573"
"cnot4a","ENSPFOG00000002228"
"zgc:136858","ENSPFOG00000002505"
